iter	RMSE
0	3641.305131
1	2984.738577
2	2554.637556
3	2278.447764
4	2101.096832
5	1996.476711
6	1913.32896
7	1867.481062
8	1826.262743
9	1800.887526
10	1779.506997
11	1766.000179
12	1752.020201
13	1742.01417
14	1733.072809
15	1725.13777
16	1719.427485
17	1707.984003
18	1702.137404
19	1695.651448
20	1691.350491
21	1684.370908
22	1678.70625
23	1674.35249
24	1670.696984
25	1664.735896
26	1661.284056
27	1659.016977
28	1656.469745
29	1652.453494
30	1648.60689
31	1644.417824
32	1642.343004
33	1638.816602
34	1633.988948
35	1630.267066
36	1626.623651
37	1624.79623
38	1621.879225
39	1619.656168
40	1617.177095
41	1614.60757
42	1611.446601
43	1606.091288
44	1603.834165
45	1602.57899
46	1600.77138
47	1597.070508
48	1593.322734
49	1591.29476
50	1589.96486
51	1587.848894
52	1584.930714
53	1582.172757
54	1579.726196
55	1577.227213
56	1574.184549
57	1573.288665
58	1570.820387
59	1570.010178
60	1567.090446
61	1565.438418
62	1562.367027
63	1559.922718
64	1557.628747
65	1554.605427
66	1553.424161
67	1551.641029
68	1550.323722
69	1547.28332
70	1546.275945
71	1544.672113
72	1541.132586
73	1539.291664
74	1536.919046
75	1533.472382
76	1532.05618
77	1530.144282
78	1527.621224
79	1526.523273
80	1525.649285
81	1522.816763
82	1520.702847
83	1518.948678
84	1517.987876
85	1516.660658
86	1514.536367
87	1512.672686
88	1511.966201
89	1510.238075
90	1506.609958
91	1504.361355
92	1502.343573
93	1501.152557
94	1499.695195
95	1497.971352
96	1495.874525
97	1494.528454
98	1493.421245
99	1491.302105
100	1489.796786
101	1488.67022
102	1487.477779
103	1486.838344
104	1484.84924
105	1482.631756
106	1481.315871
107	1478.740465
108	1476.773158
109	1475.242027
110	1474.061916
111	1472.756294
112	1472.106217
113	1470.668891
114	1469.081851
115	1467.89533
116	1465.950666
117	1464.51326
118	1463.15979
119	1461.095618
120	1459.644911
121	1457.960371
122	1457.079041
123	1455.998072
124	1455.594064
125	1454.36131
126	1453.510896
127	1452.477785
128	1450.793942
129	1449.613174
130	1448.770389
131	1446.777534
132	1444.887048
133	1443.886615
134	1443.232208
135	1442.006195
136	1440.890578
137	1439.630685
138	1438.115104
139	1437.243879
140	1435.930991
141	1434.462733
142	1433.326848
143	1431.790103
144	1430.664203
145	1429.685257
146	1427.685102
147	1426.138026
148	1425.026094
149	1422.575402
150	1421.48409
151	1420.638061
152	1419.724805
153	1418.993437
154	1417.818893
155	1416.586997
156	1415.497335
157	1414.777036
158	1413.552856
159	1412.390656
160	1411.398042
161	1410.470755
162	1409.578367
163	1408.60682
164	1407.936752
165	1407.278123
166	1406.498895
167	1405.93958
168	1405.125585
169	1404.076262
170	1403.151651
171	1402.677652
172	1401.481073
173	1400.765319
174	1399.376815
175	1397.785897
176	1396.936103
177	1395.496961
178	1394.415321
179	1393.069638
180	1392.083972
181	1391.022738
182	1389.621221
183	1388.994799
184	1387.79355
185	1386.372669
186	1385.027212
187	1384.319207
188	1383.039794
189	1382.291905
190	1381.481033
191	1380.463679
192	1379.864805
193	1379.103938
194	1378.161044
195	1377.209327
196	1376.646272
197	1375.975482
198	1374.757785
199	1374.216128
200	1373.818353
201	1373.243522
202	1372.443216
203	1371.869129
204	1371.171001
205	1370.249948
206	1369.687736
207	1368.854982
208	1367.923604
209	1367.222135
210	1366.293499
211	1365.8499
212	1365.234179
213	1364.208071
214	1363.520558
215	1362.562914
216	1361.847449
217	1360.727882
218	1360.036037
219	1359.022582
220	1357.790777
221	1357.232884
222	1356.363657
223	1355.604729
224	1354.480129
225	1353.738637
226	1352.646676
227	1351.542462
228	1351.131836
229	1350.622984
230	1349.691324
231	1348.823562
232	1348.029901
233	1347.232334
234	1346.759546
235	1345.894905
236	1344.836907
237	1344.247025
238	1342.709335
239	1342.078948
240	1341.605833
241	1340.887703
242	1340.095412
243	1339.134077
244	1337.46073
245	1336.553344
246	1335.663468
247	1334.803959
248	1334.015717
249	1333.157145
250	1332.650179
251	1331.553839
252	1330.97516
253	1330.57155
254	1329.878152
255	1329.620155
256	1328.416627
257	1327.749328
258	1327.00755
259	1326.514363
260	1325.957615
261	1325.588414
262	1324.785635
263	1323.91113
264	1323.047521
265	1322.215203
266	1321.820901
267	1321.074076
268	1320.551674
269	1319.789841
270	1319.148849
271	1318.361123
272	1317.855182
273	1317.233583
274	1316.296033
275	1315.352751
276	1314.203146
277	1313.613002
278	1312.955599
279	1312.28766
280	1311.473068
281	1311.003409
282	1310.150166
283	1309.565515
284	1309.249706
285	1308.975449
286	1308.178636
287	1307.756655
288	1306.580022
289	1305.975278
290	1305.2265
291	1304.721841
292	1304.143579
293	1303.433457
294	1302.027884
295	1300.967639
296	1300.151882
297	1299.517386
298	1299.069535
299	1298.251397
