iter	Passed	Remaining
0	18	5624
1	39	5878
2	58	5788
3	78	5797
4	98	5786
5	117	5753
6	136	5714
7	156	5703
8	175	5677
9	196	5692
10	215	5665
11	235	5644
12	257	5674
13	276	5645
14	295	5613
15	314	5584
16	333	5548
17	352	5528
18	372	5510
19	394	5517
20	412	5483
21	431	5451
22	452	5448
23	473	5441
24	491	5406
25	510	5377
26	528	5346
27	547	5314
28	565	5284
29	585	5273
30	606	5266
31	626	5249
32	645	5224
33	668	5231
34	690	5224
35	709	5202
36	729	5184
37	748	5157
38	767	5136
39	786	5115
40	807	5100
41	826	5079
42	846	5057
43	865	5037
44	885	5016
45	904	4995
46	923	4971
47	942	4948
48	963	4933
49	981	4908
50	1004	4904
51	1024	4886
52	1043	4862
53	1062	4841
54	1081	4819
55	1103	4806
56	1124	4794
57	1143	4769
58	1162	4748
59	1181	4724
60	1199	4700
61	1221	4687
62	1241	4670
63	1261	4651
64	1280	4629
65	1299	4607
66	1321	4596
67	1341	4578
68	1361	4556
69	1382	4541
70	1400	4517
71	1419	4494
72	1441	4481
73	1460	4461
74	1480	4440
75	1499	4418
76	1518	4396
77	1540	4384
78	1560	4365
79	1579	4343
80	1597	4320
81	1618	4301
82	1638	4282
83	1658	4263
84	1678	4246
85	1697	4223
86	1716	4202
87	1736	4183
88	1756	4164
89	1777	4147
90	1797	4128
91	1817	4108
92	1836	4088
93	1856	4067
94	1876	4049
95	1897	4032
96	1917	4013
97	1937	3993
98	1956	3972
99	1977	3955
100	1997	3936
101	2018	3917
102	2037	3897
103	2056	3875
104	2076	3855
105	2098	3839
106	2117	3819
107	2136	3798
108	2157	3780
109	2178	3762
110	2197	3742
111	2216	3720
112	2235	3699
113	2254	3678
114	2273	3657
115	2293	3638
116	2314	3620
117	2333	3598
118	2351	3576
119	2373	3559
120	2394	3541
121	2413	3520
122	2431	3499
123	2449	3477
124	2467	3454
125	2486	3433
126	2506	3414
127	2550	3427
128	2576	3415
129	2597	3396
130	2616	3375
131	2635	3354
132	2655	3334
133	2674	3313
134	2693	3292
135	2713	3272
136	2736	3255
137	2755	3235
138	2776	3215
139	2796	3196
140	2816	3175
141	2835	3154
142	2853	3133
143	2873	3113
144	2892	3092
145	2911	3071
146	2933	3053
147	2953	3033
148	2973	3013
149	2997	2997
150	3018	2978
151	3036	2956
152	3055	2935
153	3074	2915
154	3094	2894
155	3113	2873
156	3132	2853
157	3153	2833
158	3173	2814
159	3193	2794
160	3213	2774
161	3234	2755
162	3253	2734
163	3272	2713
164	3290	2692
165	3309	2671
166	3328	2650
167	3347	2629
168	3370	2612
169	3391	2593
170	3410	2572
171	3430	2552
172	3451	2533
173	3470	2513
174	3490	2493
175	3509	2472
176	3528	2452
177	3548	2432
178	3567	2411
179	3590	2393
180	3609	2373
181	3628	2352
182	3649	2332
183	3669	2313
184	3688	2292
185	3707	2272
186	3727	2252
187	3746	2231
188	3766	2211
189	3784	2191
190	3805	2171
191	3827	2152
192	3845	2131
193	3864	2111
194	3885	2092
195	3905	2072
196	3923	2051
197	3942	2030
198	3961	2010
199	3979	1989
200	3997	1969
201	4017	1949
202	4038	1929
203	4058	1909
204	4079	1890
205	4100	1871
206	4119	1850
207	4139	1830
208	4158	1810
209	4177	1790
210	4196	1770
211	4215	1749
212	4237	1730
213	4258	1711
214	4277	1691
215	4298	1671
216	4318	1651
217	4337	1631
218	4355	1610
219	4374	1590
220	4393	1570
221	4412	1550
222	4431	1530
223	4451	1510
224	4474	1491
225	4492	1471
226	4513	1451
227	4533	1431
228	4552	1411
229	4570	1391
230	4590	1371
231	4609	1351
232	4628	1330
233	4647	1310
234	4666	1290
235	4688	1271
236	4707	1251
237	4727	1231
238	4749	1212
239	4768	1192
240	4786	1171
241	4805	1151
242	4824	1131
243	4842	1111
244	4862	1091
245	4884	1072
246	4908	1053
247	4928	1033
248	4951	1014
249	4970	994
250	4989	974
251	5009	954
252	5027	933
253	5045	913
254	5063	893
255	5082	873
256	5101	853
257	5122	833
258	5144	814
259	5164	794
260	5183	774
261	5201	754
262	5219	734
263	5238	714
264	5257	694
265	5276	674
266	5294	654
267	5314	634
268	5335	614
269	5355	595
270	5375	575
271	5397	555
272	5415	535
273	5434	515
274	5454	495
275	5473	475
276	5492	456
277	5511	436
278	5558	418
279	5584	398
280	5603	378
281	5623	358
282	5642	338
283	5661	318
284	5681	299
285	5700	279
286	5719	259
287	5741	239
288	5762	219
289	5781	199
290	5803	179
291	5822	159
292	5841	139
293	5860	119
294	5880	99
295	5899	79
296	5922	59
297	5941	39
298	5960	19
299	5980	0
