iter	RMSE
0	10.84374157
1	10.54967666
2	10.24247283
3	10.00730993
4	9.774878643
5	9.564922819
6	9.386302514
7	9.214760935
8	9.045960018
9	8.869099792
10	8.739269749
11	8.600943605
12	8.449017163
13	8.364315067
14	8.266181155
15	8.15135087
16	8.040145918
17	7.962196729
18	7.851620646
19	7.752557835
20	7.678840174
21	7.593445205
22	7.511533984
23	7.461029046
24	7.403664527
25	7.334394353
26	7.271877623
27	7.224181293
28	7.181409816
29	7.138270882
30	7.081105754
31	7.033073121
32	6.996344257
33	6.926357875
34	6.870878031
35	6.823482368
36	6.774372557
37	6.746612185
38	6.71544403
39	6.666483262
40	6.608201601
41	6.566318008
42	6.525231959
43	6.507560039
44	6.458777425
45	6.410390452
46	6.362633766
47	6.337310195
48	6.298697359
49	6.260232637
