iter	Passed	Remaining
0	4	227
1	9	226
2	14	221
3	18	210
4	22	204
5	27	200
6	31	194
7	36	190
8	40	185
9	45	180
10	49	176
11	54	171
12	58	167
13	63	162
14	86	201
15	91	194
16	96	186
17	101	180
18	112	184
19	117	176
20	122	168
21	126	161
22	131	153
23	135	147
24	140	140
25	146	134
26	150	128
27	155	121
28	159	115
29	164	109
30	169	103
31	174	98
32	178	92
33	183	86
34	189	81
35	193	75
36	197	69
37	202	63
38	208	58
39	213	53
40	218	47
41	223	42
42	228	37
43	232	31
44	248	27
45	259	22
46	266	16
47	274	11
48	279	5
49	284	0
