iter	Passed	Remaining
0	1	677
1	2	569
2	3	503
3	4	463
4	5	438
5	6	421
6	7	407
7	8	400
8	9	394
9	10	390
10	10	384
11	11	378
12	12	375
13	13	370
14	14	366
15	15	361
16	15	359
17	16	356
18	17	353
19	18	351
20	19	349
21	20	346
22	21	345
23	21	342
24	22	340
25	23	339
26	24	337
27	25	335
28	26	334
29	26	332
30	27	330
31	28	328
32	29	327
33	30	326
34	31	325
35	32	324
36	32	323
37	33	322
38	34	320
39	35	319
40	36	318
41	37	317
42	38	315
43	38	314
44	39	312
45	40	311
46	41	310
47	42	309
48	42	307
49	43	306
50	44	305
51	45	304
52	46	302
53	47	301
54	47	300
55	48	299
56	49	298
57	50	297
58	51	296
59	52	295
60	52	294
61	53	293
62	54	292
63	55	291
64	56	290
65	57	289
66	57	288
67	58	287
68	59	286
69	60	285
70	61	284
71	62	283
72	62	281
73	63	280
74	64	279
75	65	278
76	66	277
77	67	276
78	67	276
79	68	275
80	69	273
81	70	273
82	71	272
83	72	271
84	72	270
85	73	269
86	74	268
87	75	267
88	76	266
89	77	265
90	77	264
91	78	263
92	79	262
93	80	261
94	81	260
95	82	260
96	83	259
97	83	258
98	84	257
99	85	256
100	86	256
101	87	255
102	88	254
103	89	253
104	89	252
105	90	251
106	91	250
107	92	249
108	93	249
109	94	248
110	94	247
111	95	246
112	96	245
113	97	244
114	98	243
115	99	242
116	100	241
117	100	241
118	101	240
119	102	239
120	103	238
121	104	237
122	105	236
123	105	235
124	106	234
125	107	233
126	108	232
127	109	231
128	109	231
129	111	231
130	112	230
131	112	229
132	113	228
133	114	227
134	115	226
135	116	225
136	117	224
137	117	224
138	118	223
139	119	222
140	120	221
141	121	220
142	122	219
143	123	218
144	123	217
145	124	216
146	125	215
147	126	215
148	127	214
149	127	213
150	128	212
151	129	211
152	130	210
153	131	209
154	132	208
155	132	207
156	133	207
157	134	206
158	135	205
159	136	204
160	137	203
161	138	202
162	138	201
163	139	200
164	140	200
165	141	199
166	142	198
167	143	197
168	143	196
169	144	195
170	145	195
171	146	194
172	147	193
173	148	192
174	148	191
175	149	190
176	150	189
177	151	188
178	152	187
179	152	186
180	153	186
181	154	185
182	155	184
183	155	183
184	156	182
185	157	181
186	158	180
187	158	179
188	159	178
189	160	177
190	161	176
191	161	175
192	162	174
193	163	173
194	164	172
195	164	171
196	165	170
197	166	169
198	167	168
199	168	168
200	168	167
201	169	166
202	170	165
203	171	164
204	171	163
205	172	162
206	173	161
207	174	160
208	174	159
209	175	158
210	176	158
211	177	157
212	178	156
213	178	155
214	179	154
215	180	153
216	181	152
217	181	151
218	182	150
219	183	150
220	184	149
221	184	148
222	185	147
223	186	146
224	187	145
225	188	145
226	189	144
227	190	143
228	191	142
229	192	141
230	192	141
231	193	140
232	194	139
233	195	138
234	195	137
235	196	136
236	197	135
237	197	134
238	198	133
239	199	133
240	200	132
241	201	131
242	201	130
243	202	129
244	203	128
245	204	127
246	204	126
247	205	126
248	206	125
249	207	124
250	207	123
251	208	122
252	209	121
253	210	120
254	210	119
255	211	119
256	212	118
257	213	117
258	214	116
259	214	115
260	215	114
261	216	114
262	217	113
263	218	112
264	218	111
265	219	110
266	220	109
267	221	108
268	221	108
269	222	107
270	223	106
271	224	105
272	224	104
273	225	103
274	226	102
275	227	102
276	227	101
277	228	100
278	229	99
279	230	98
280	230	97
281	231	96
282	232	96
283	233	95
284	234	94
285	234	93
286	235	92
287	236	91
288	237	91
289	237	90
290	238	89
291	239	88
292	240	87
293	240	86
294	241	86
295	242	85
296	243	84
297	244	83
298	245	82
299	246	82
300	246	81
301	247	80
302	248	79
303	249	78
304	249	77
305	250	77
306	251	76
307	252	75
308	253	74
309	253	73
310	254	72
311	255	72
312	256	71
313	256	70
314	257	69
315	258	68
316	259	67
317	259	67
318	260	66
319	261	65
320	262	64
321	263	63
322	263	62
323	264	62
324	265	61
325	266	60
326	266	59
327	267	58
328	268	57
329	269	57
330	269	56
331	270	55
332	271	54
333	272	53
334	273	52
335	273	52
336	274	51
337	275	50
338	276	49
339	277	48
340	277	48
341	278	47
342	279	46
343	280	45
344	280	44
345	281	43
346	282	43
347	283	42
348	283	41
349	284	40
350	285	39
351	286	39
352	287	38
353	287	37
354	288	36
355	289	35
356	290	34
357	290	34
358	291	33
359	292	32
360	293	31
361	294	30
362	295	30
363	295	29
364	296	28
365	297	27
366	298	26
367	299	26
368	299	25
369	300	24
370	301	23
371	302	22
372	303	21
373	303	21
374	304	20
375	305	19
376	306	18
377	307	17
378	307	17
379	308	16
380	309	15
381	310	14
382	311	13
383	311	12
384	312	12
385	313	11
386	314	10
387	314	9
388	315	8
389	316	8
390	317	7
391	318	6
392	318	5
393	319	4
394	320	4
395	321	3
396	322	2
397	322	1
398	323	0
399	324	0
